dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,conditionType,conditionValue,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
lide_fight_over_xin_dialogue,node002,system,旁白,System,Neutral,庆幸的是，总有人愿做逆流而上勇者，在信息的洪流中铸造锚点。,,,,FALSE,,,,,,,,
xiao_dialogue,node001,LuXinsheng,路薪声,Npc,Neutral,这是我上广告策划课认识的同学，我去打招呼吧......小芃！上午好——啊，是不是打扰到你了？,node002,,,FALSE,,,,,,,,
xiao_dialogue,node002,XiaoPeng,小芃,Npc,Neutral,你来的正是时候啊，你知道王老师刚刚让我们组重新设计策划案吗？太离谱了！他和我们说什么'设计的营销活动不够年轻化'，可我们问卷显示40%用户其实偏好怀旧风啊！,node003,,,FALSE,,,,,,,,
xiao_dialogue,node003,LuXinsheng,路薪声,Npc,Neutral,啊，可是快期末了，改动太大会不会根本来不及啊......太为难人了。我来帮帮忙吧，方便给我们看看你们组的问卷调研的问题吗？,node004,,,FALSE,,,,,,,,
xiao_dialogue,node004,system,旁白,System,Neutral,"......第7题：'您对于xxx的品牌印象是？（多选）'
① 充满童年回忆
② 设计过时
③ 价格亲民
④ 质量可靠」......",node005,,,FALSE,,,,,,,,
xiao_dialogue,node005,system,旁白,System,Neutral,翻看到这里时，你发现这份问卷的问题设计稍微有一点问题，而这或许恰好是解决问题的关键。,,,,FALSE,,,（指出问卷设计的问题所在）,node006,（建议不要参考调研的数据）,node006,,
xiao_dialogue,node006,player,playerName,Player,Neutral,让'童年回忆'和'过时'出现在同一题里，就像是在询问'你是喜欢晴天还是讨厌下雨'。受访者可能同时勾选①②，但这不代表他们认为'怀旧=落后'。,node007,,,FALSE,,,,,,,,
xiao_dialogue,node007,LuXinsheng,路薪声,Npc,Neutral,哦！我明白了！也就是说选①的人或许是觉得经典，但是选②也可能是在吐槽包装！所以其实我们可以保留原来的主题的策划内容。,node008,,,FALSE,,,,,,,,
xiao_dialogue,node008,XiaoPeng,小芃,Npc,Neutral,产品设计年轻化不等于抛弃怀旧风主题，我们可以用'老国货的叛逆期'作为我们的slogan！,node009,,,FALSE,,,,,,,,
xiao_dialogue,node009,XiaoPeng,小芃,Npc,Neutral,嘿嘿，我有一点思路了，多谢啦~,node010,,,FALSE,,,,,,,,
xiao_dialogue,node010,LuXinsheng,路薪声,Npc,Neutral,能帮上忙就好！多亏了{playerName}大佬~,node011,,,FALSE,,,,,,,,
xiao_dialogue,node011,LuXinsheng,路薪声,Npc,Neutral,对啦小芃，你在立德楼有看到什么奇异的东西吗？类似于时空裂缝......啊！我的意思是我们在找......我们在找新闻！,node012,,,FALSE,,,,,,,,
xiao_dialogue,node012,XiaoPeng,小芃,Npc,Neutral,奇异现象？我刚才好像听到这层楼里有个静音仓有人在里面时不时大声尖叫，这个算吗？,node013,,,FALSE,,,,,,,,
xiao_dialogue,node013,player,playerName,Player,Neutral,看来这个静音仓也不是很静音。,node014,,,FALSE,,,,,,,,
xiao_dialogue,node014,LuXinsheng,路薪声,Npc,Neutral,当然算！谢谢小芃~我们先走了！,node015,,,FALSE,,,,,,,,
xiao_dialogue,node015,LuXinsheng,路薪声,Npc,Neutral,去年立德楼里添置了一些静音仓，一直到现在预约都很火爆呢！可惜今天的静音仓预约昨天就满了，不然还能带{playerName}你体验一下呢！,node016,,,FALSE,,,,,,,,
xiao_dialogue,node016,LuXinsheng,路薪声,Npc,Neutral,嘿嘿{playerName}，还有刚才你帮忙分析问题的时候好厉害呀，就像我的老师一样！,,find_scream,,TRUE,,,,,,,,
silence_dialogue,node001,system,旁白,System,Neutral,站在门口的同学有点尴尬地看着你。,node002,,,FALSE,,,,,,,,
silence_dialogue,node002,JiangYiyi,蒋依依,Npc,Neutral,同学，我刚刚隐约听到里面的人尖叫了一声然后没有了动静，这个静音仓本来该到我预约的时间了，但是我发现里面地那个同学好像晕过去了，你可以帮忙看看吗......我就先去别的地方自习了。,node003,,,FALSE,,,,,,,,
silence_dialogue,node003,system,旁白,System,Neutral,站在门口的同学帮你打开了静音仓。,,,,FALSE,,,,,,,,
silence_in_dialogue,node001,LuXinsheng,路薪声,Npc,Neutral,呀！这是怎么了！,,,,FALSE,,,叫醒她,node002,,,,
silence_in_dialogue,node002,system,旁白,System,Neutral,她身体稍微晃动了一下，慢悠悠地直起身。眼镜歪斜地滑到鼻尖，她用食指关节往上推了推，看得出她手抖得厉害。镜腿勾住耳后一缕汗湿的碎发。白炽灯刺得她眯起眼。,node003,,,FALSE,,,,,,,,
silence_in_dialogue,node003,player,playerName,Player,Neutral,同学，先不要害怕。发生什么事了，是不是——,node004,,,FALSE,,,,,,,,
silence_in_dialogue,node004,JiangWanzhou,姜晚舟,Npc,Neutral,奇异现象！天呐，我刚才看到奇异现象了......我正在静音仓里做推送，当我排版都做好的时候旁边突然出现一道打开的裂缝！！,node005,,,FALSE,,,,,,,,
silence_in_dialogue,node005,JiangWanzhou,姜晚舟,Npc,Neutral,等我反应过来的时候我的推送排版全部乱掉了！但是旁边的裂缝还在这里，只是没有再打开了。,node006,,,FALSE,,,,,,,,
silence_in_dialogue,node006,LuXinsheng,路薪声,Npc,Neutral,所以你看到这个时空裂缝害怕的晕过去了？,node007,,,FALSE,,,,,,,,
silence_in_dialogue,node007,JiangWanzhou,姜晚舟,Npc,Neutral,No！这个玩意儿把我的推送排版全搞乱了！！我已经修改了很多遍了，我一想到现在要重新排版它们我就气晕过去了......,node008,,,FALSE,,,,,,,,
silence_in_dialogue,node008,system,旁白,System,Neutral,说完，她好像已经有点嘴唇发白了，眼睛一闭似乎要再一度晕过去。,node009,,,FALSE,,,,,,,,
silence_in_dialogue,node009,LuXinsheng,路薪声,Npc,Neutral,等等！先别晕！,node010,,,FALSE,,,,,,,,
silence_in_dialogue,node010,player,playerName,Player,Neutral,所以我们现在只需要把排版复原就可以重新打开时空裂缝了,node011,,,FALSE,,,,,,,,
silence_in_dialogue,node011,JiangWanzhou,姜晚舟,Npc,Neutral,复原?等等，你们还想再打开这个东西？,node012,,,FALSE,,,,,,,,
silence_in_dialogue,node012,player,playerName,Player,Neutral,放任时空裂缝不管还会有更多实体化的危险出现在校园里，我需要前去消除这一切的根源。,node013,,,FALSE,,,,,,,,
silence_in_dialogue,node013,JiangWanzhou,姜晚舟,Npc,Neutral,额，天呐，好吧。不过先说好，我不会再去修改这个东西了，我真的真的不想再看到这篇推送了。,node014,,,FALSE,,,,,,,,
silence_in_dialogue,node014,LuXinsheng,路薪声,Npc,Neutral,没问题！推送就交给我们吧！我和{playerName}可是新闻学院知名的黄金搭档哦！,node015,,,TRUE,,,,,,,,
silence_in_dialogue,node015,player,playerName,Player,Neutral,......交给我吧。,,,,FALSE,,,,,,,,
lide_system_notice,node001,system,旁白,System,Neutral,一些比较隐秘的地方有可能会找到特殊道具，用于跳过该任务。是否使用道具不会有任何对于剧情发展的影响。是否准备好完成该任务？,,enter_space-time_rift,,FALSE,,,,,,,,
lide_last_dialogue,node001,LuXinsheng,路薪声,Npc,Neutral,你一个人去没问题吧，一定要注意安全呀{playerName}！,,,,FALSE,,,,,,,,
